S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
50,2014,Lim Chu Kang Beach,"Saturday, 13 September, 2014",Jurong Spring CC Youth Executive Committee RGB Life!,Sih Chee Seng,8,12,102,30,611,453,4,22,12,1,119,611,453,1,134,13,0,17,1,9,65,4,31,1,7,22,125,3,4,13,3,4,0,3,0,1,12,0,0,0,3,2,7,0,119,107,12,0,0,22,0,19,0,0,3,1,1,0,0,0,,NIL,,,
51,2014,Lim Chu Kang East Mangrove,"Saturday, 13 September, 2014",National University of Singapore BES ENV2101 class,JC Mendoza,65,46,521,200,2459,1517,58,109,44,0,731,2459,1517,0,218,39,15,33,2,1,141,11,96,56,16,453,382,0,1,36,17,58,1,27,30,0,44,2,0,0,14,26,0,2,731,276,13,436,6,109,0,88,6,7,8,0,0,0,0,0,,5 horseshoe crabs (Carcinoscorpius rotundicaud,,,
52,2014,Lim Chu Kang East Mangrove,"September 13, 2014",Singapore American School (Middle School + High School),Steve Early,63,68,542,200,2517,1453,66,61,23,5,909,2517,1453,2,201,52,49,47,23,14,156,20,193,22,6,203,352,25,15,49,24,66,3,17,46,0,23,1,0,1,12,8,0,1,909,463,13,430,3,61,0,34,12,10,5,5,1,0,3,1,,Horseshoe crab (15),,,
53,2014,Sungei Buloh Wetlands Reserve West,"Saturday, 13 September, 2014",NUS High School of Math and Science,Victoria Yang/ Zhu Shiyao,35,13,146,375,1191,826,45,51,20,1,248,1191,826,0,89,6,16,17,5,2,95,2,31,21,5,55,436,0,3,20,23,45,0,4,41,0,20,0,0,1,13,6,0,0,248,80,60,86,22,51,1,33,3,5,9,1,1,0,0,0,,horseshoe crab,,,
54,2014,Sungei Buloh Wetlands Reserve West,"Saturday, 13 September, 2014",Ministry of Manpower,"Yeo Su Yin, Roy Chiam, Tan Yi Hui, Teo Ya Chih",26,18,122,100m,795,569,9,135,3,3,76,795,569,0,58,8,14,10,0,1,25,3,14,81,6,30,224,0,3,18,74,9,0,1,8,0,3,0,0,0,2,1,0,0,76,11,61,3,1,135,0,54,65,1,15,3,0,0,0,3,,Horseshoe crab,,,
55,2014,Kranji East Mangrove,"Saturday, 13 September, 2014",Beatty Beaver Scout Troop and Bishan Park Lightning Scout Troop,Kumanan Ilangovan,12,14,45,200,283,184,0,39,15,1,44,283,#N/A,#N/A,34,2,4,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,15,2,0,0,2,10,0,1,44,8,8,28,0,39,0,28,3,6,2,1,1,0,0,0,,Prawn,,,
56,2014,Kranji East Mangrove,"Saturday, 13 September, 2014",Earthlink NTU,Choo Le Min,31,24,231,90,1336,796,22,59,52,10,397,1336,796,4,56,20,12,12,1,5,20,15,63,33,42,210,241,26,1,23,12,22,0,14,7,1,52,3,0,1,13,32,0,3,397,154,34,199,10,59,0,41,4,9,5,10,4,6,0,0,,Horseshoe Crab,,,
57,2014,Kranji East Mangrove,"Saturday, 13 September, 2014",NUS Environmental Science and Engineering Students Club (NUS ESESC),Lim Yang Jun,40,16,158,100,1206,461,46,77,31,2,589,1206,461,0,84,0,14,9,9,0,36,11,23,70,13,93,78,5,0,10,6,46,0,10,33,3,31,6,0,3,4,17,1,0,589,116,175,264,34,77,1,53,2,19,2,2,0,0,1,1,,Horseshoe Crabs,,,
58,2014,Kranji Bund Mangrove (Zone: Northwest),"Saturday, 27 September, 2014",Nature Society (Singapore),Kerry Pereira,80,82,674,200,2430,1406,45,147,195,0,637,2430,1406,3,170,133,38,15,20,36,10,88,230,136,79,96,217,9,5,71,50,45,0,24,12,9,195,36,1,0,9,121,0,28,637,172,158,229,78,147,2,83,39,9,14,0,0,0,0,0,,Horseshoe Crabs,,,
59,2014,Ketam Beach 1,"Saturday, 13 September, 2014",Maritime & Port Authority of Singapore (MPA),Kong Xieheng,11,15,350,100,398,252,25,9,21,0,91,398,252,20,30,10,40,40,0,0,0,10,30,1,20,30,20,0,0,1,0,25,0,10,10,5,21,0,0,0,10,10,0,1,91,70,0,1,20,9,0,0,5,0,4,0,0,0,0,0,,Fish,,,
60,2014,Ketam Beach 2,"Saturday, 27 September, 2014",Gemalto,Yeo Zhi Yan,54,10,395,150,1608,1100,40,105,79,4,280,1608,1100,4,32,48,50,138,4,32,51,38,370,18,38,53,150,6,2,46,20,40,1,14,22,3,79,2,1,2,48,24,0,2,280,118,3,159,0,105,3,30,59,8,5,4,2,0,2,0,,Fish,,,
61,2014,Ketam Beach 2 and 3,"Saturday, 13 September, 2014",National University of Singapore College of Alice and Peter Tan (NUS CAPT),Joelle Lai,91,32,171,150,8068,2184,379,394,86,7,5018,8068,2184,184,308,85,21,353,10,36,311,80,258,23,32,103,212,18,16,102,32,379,9,64,85,221,86,5,5,8,29,36,1,2,5018,3817,74,1081,46,394,1,292,31,39,31,7,1,1,5,0,,Fish,,,
62,2014,Ketam Beach 3,"Saturday, 13 September, 2014",National University of Singapore University Scholars Programme (NUS USP),David Bickford,30,19,219,150,6087,1865,116,243,76,3,3784,6087,1865,29,202,95,116,238,24,76,164,89,265,26,56,51,312,18,3,85,16,116,1,23,63,29,76,1,3,0,60,8,1,3,3784,3257,18,504,5,243,0,195,20,12,16,3,2,1,0,0,,Hoseshoe crab,,,
63,2014,Jelutong Beach (Pulau Ubin East excluding Chek Jawa),"Wednesday, 1 October, 2014",United World College of South East Asia (Dover),Danny O'Connor,120,30,50,350,2595,1255,139,190,45,1,965,2595,1255,94,59,77,36,91,16,35,30,65,272,51,63,136,115,18,9,64,24,139,12,36,59,32,45,1,2,7,12,7,0,16,965,553,148,240,24,190,2,69,77,17,25,1,0,0,0,1,,crab,,,
64,2014,Ubin Jetty Beach (Pulau Ubin East excluding Chek Jawa),"Saturday, 13 September, 2014",Ardentec Singapore Pte Ltd,Sarah Chu,41,29,244,50,2371,1816,35,76,27,2,415,2371,1816,41,159,184,92,222,47,116,248,62,93,72,28,95,67,8,104,98,80,35,3,1,21,10,27,1,3,10,7,6,0,0,415,105,102,200,8,76,0,55,11,8,2,2,0,0,0,2,,Horseshoe Crabs (3),,,
65,2014,Ubin Village Beach (Pulau Ubin East excluding Chek Jawa),"Saturday, 13 September, 2014",Inland Revenue Authority of Singapore (IRAS),Janice Lim,25,16,267,100,2052,1686,13,114,23,3,213,2052,1686,8,287,32,0,53,10,19,341,32,60,26,26,132,604,2,4,48,2,13,0,3,9,1,23,0,0,0,19,1,0,3,213,73,67,73,0,114,1,79,22,3,9,3,0,1,1,1,,NIL,,,
66,2014,Sungei Ubin,"Saturday, 13 September, 2014",HGST Singapore Pte Ltd,Grace Ang Dulay,27,34,26,100,324,199,14,12,11,1,87,324,199,23,13,9,5,8,3,7,2,18,67,7,9,0,14,2,0,4,8,14,3,3,6,2,11,0,0,0,2,7,0,2,87,45,3,23,16,12,0,5,4,3,0,1,0,1,0,0,,small prawns,,,
67,2014,Sungei Ubin,"Saturday, 13 September, 2014",Tata Consultancy Services Asia Pacific Pte Ltd,Lois Tay,24,37,416,50,1986,1259,57,66,47,3,554,1986,1259,9,34,56,10,71,22,19,93,16,140,109,22,196,287,30,2,70,73,57,6,26,25,0,47,0,4,0,8,22,0,13,554,179,262,109,4,66,0,53,9,2,2,3,0,1,2,0,,Crab,,,
68,2014,Berlayar Creek (South Zone),"Saturday, 13 September, 2014",Nanyang Girls' High School,Olivia Chee,17,12,169,150,673,305,30,61,39,0,238,673,305,8,27,24,11,6,2,3,20,9,55,32,19,20,53,0,4,10,2,30,3,4,19,4,39,0,1,2,1,7,0,28,238,28,81,112,17,61,0,49,0,4,8,0,0,0,0,0,,Nil,,,
69,2014,Pandan Mangroves (SP1),"Saturday, 13 September, 2014",Catholic High School (Secondary),Zenia Zheng Ling,31,30,189,100,2193,1969,4,102,21,1,96,2193,1969,2,156,59,65,218,34,28,13,14,892,13,193,52,150,3,13,51,13,4,1,0,3,0,21,4,0,0,14,1,1,1,96,91,0,4,1,102,0,87,3,0,12,1,1,0,0,0,,NIL,,,
70,2014,Pandan Mangroves (SP2),"Saturday, 13 September, 2014",Raffles Girls' School (Secondary) Staff & Friends,Kevin Ng,8,4,14,50,576,421,0,10,2,0,143,576,421,0,54,65,10,43,0,1,36,10,52,0,21,5,103,3,0,10,8,0,0,0,0,0,2,0,0,0,2,0,0,0,143,89,2,50,2,10,0,2,0,7,1,0,0,0,0,0,,NIL,,,
71,2014,Pandan Mangroves (SP2),"Saturday, 13 September, 2014",NUS High School of Math & Science,Benedix Sim,9,7,57,70,587,297,32,24,13,1,220,587,297,0,73,4,6,9,1,4,37,6,17,5,9,17,85,8,3,10,3,32,0,2,29,1,13,0,2,0,3,8,0,0,220,32,0,185,3,24,0,7,0,16,1,1,0,0,1,0,,Nil,,,
72,2014,Pandan Mangroves (SP2),"Saturday, 13 September, 2014",Environmental Resources Management (ERM),Aditi,12,11,42,70,776,703,6,38,7,0,22,776,703,0,141,3,20,13,3,0,12,7,26,19,30,47,329,33,1,18,1,6,0,4,2,0,7,0,1,0,6,0,0,0,22,22,0,0,0,38,0,28,3,0,7,0,0,0,0,0,,NIL,,,
73,2014,Pandan Mangroves (SP2),"Saturday, 13 September, 2014",Wildlife Reserves Singapore,Frances Warren,24,25,183kg,60,1976,1288,65,270,39,1,313,1976,1288,10,432,21,11,44,2,6,140,28,94,8,41,123,287,3,0,22,16,65,0,2,63,0,39,0,2,0,10,14,1,12,313,87,2,216,8,270,1,81,7,169,12,1,1,0,0,0,,Horse shoe crab,,,
74,2014,Pandan Mangroves (SP2),"Saturday, 13 September, 2014",Crescent Girls Sec School,Ouyang Xiu Ling,26,15,64,50,1484,787,3,89,16,1,588,1484,787,14,197,5,8,6,2,9,222,23,87,9,36,64,58,12,6,11,18,3,0,1,2,0,16,0,2,1,11,0,0,2,588,157,12,349,70,89,0,61,0,14,14,1,0,0,1,0,,NIL,,,
75,2014,"Tanjong Rimau, Sentosa (South Zone)","Saturday, 13 September, 2014",Sentosa Development Corporation,"Lieow Shao Wei, Josephine Chee",17,9,88,230,350,144,6,5,5,0,190,350,144,5,7,2,0,4,1,0,5,8,97,2,7,1,0,2,1,1,1,6,3,2,1,0,5,0,0,0,1,3,0,1,190,108,25,56,1,5,0,3,1,1,0,0,0,0,0,0,,NIL,,,
76,2014,Marina East Beach (South Zone),"Saturday, 13 September, 2014",Waterways Watch Society,Annie Young-Giri,120,97,769,1000,5613,4559,33,31,64,4,922,5613,4559,119,113,75,267,40,32,5,100,5,3360,46,50,20,0,0,300,21,6,33,5,19,6,3,64,0,11,20,19,11,0,3,922,918,0,4,0,31,0,20,1,0,10,4,3,0,0,1,,NIL,,,
77,2014,Changi Beach 1,"Saturday, 13 September, 2014",IBM IPDL,"Koh Seow Hiang, Jon Vitas Guiritan",20,11,50,450m,1088,726,42,12,17,4,287,1088,726,484,24,3,0,57,7,7,53,3,7,0,3,4,38,10,12,13,1,42,0,23,3,16,17,0,1,0,0,5,11,0,287,88,24,162,13,12,0,6,1,0,5,4,1,2,1,0,,Prawn,,,
78,2014,Changi Beach 2,"Saturday, 13 September, 2014",Resorts World Sentosa,Cynthia Wong,42,39,295,250,3054,2285,219,88,56,3,403,3054,2285,1236,100,110,68,88,27,10,45,24,110,29,25,127,186,22,19,54,5,219,44,17,48,110,56,2,5,1,23,24,0,1,403,190,95,64,54,88,0,57,4,16,11,3,1,1,0,1,,"Squid, crab x2, horseshoe crab x2, fish",,,
79,2014,Changi Beach 3,"Saturday, 13 September, 2014",Compassvale Secondary School,Winnie Chia,110,28,57,800,1906,817,214,71,98,2,704,1906,817,298,86,20,5,78,15,5,42,23,130,4,19,17,23,9,7,6,30,214,2,8,65,139,98,9,3,34,16,31,2,3,704,439,7,243,15,71,0,53,2,9,7,2,1,0,1,0,,Fish,,,
80,2014,Changi Beach 4,"Saturday, 13 September, 2014",FMC Technologies Pte Ltd Singapore,Chua Sin Yee,30,10,114,500,558,224,44,11,20,0,259,558,224,106,17,5,0,19,0,4,23,5,10,2,0,12,10,6,3,2,0,44,1,6,0,37,20,0,0,4,2,11,0,3,259,206,0,50,3,11,0,1,2,8,0,0,0,0,0,0,,0,,,
81,2014,Changi Beach 4,"Saturday, 13 September, 2014",Oil Spill Response Limited,Qi Chao,24,9,103,100,620,356,36,37,26,0,165,620,356,88,30,7,2,37,1,2,59,13,27,18,7,4,57,2,0,1,1,36,0,4,17,15,26,0,0,25,0,0,0,1,165,63,8,92,2,37,1,26,1,4,5,0,0,0,0,0,,NIL,,,
82,2014,Changi Beach 4,"Saturday, 13 September 2014",Pacific Refreshments Pte Ltd,"Erwin Suner, Louis Xu, Jeremy Tan, Vanessa Yuen, Joan Guarin,",108,45,169kg,600,2490,1468,85,119,66,8,744,2490,#N/A,759,29,44,143,62,11,23,23,19,12,#N/A,1,16,98,17,9,26,165,85,10,7,42,26,66,0,0,13,22,26,4,1,744,358,16,349,21,119,0,97,0,5,17,8,0,8,0,0,,Fish,,,
83,2014,Changi Beach 4,12 September 2014 (Friday),ST Dynamics Pte Ltd,Juliana Soh Siok Huay,27,6,8,400,651,311,49,21,55,0,215,651,311,144,51,9,6,30,1,12,17,3,18,1,1,5,7,0,1,0,5,49,0,5,10,34,55,0,0,50,2,3,0,0,215,115,3,88,9,21,0,15,0,0,6,0,0,0,0,0,,NIL,,,
84,2014,Tanah Merah Site 1,"Saturday, 13 September, 2014",Mitsui & Co. (Asia Pacific) Pte Ltd,Raymond Seow,35,19,130,250,3900,1724,33,1043,96,1,1003,3900,1724,741,40,10,0,58,0,3,51,44,582,3,7,6,8,41,4,95,31,33,2,11,2,18,96,0,0,75,20,1,0,0,1003,677,4,322,0,1043,0,1028,13,0,2,1,0,0,1,0,,NIL,,,
85,2014,Tanah Merah Site 3,13th September 2014,Temasek Polytechnic Green Interest Group,Joy Sim,29,9,81,140,2040,752,18,54,68,0,1148,2040,752,42,12,25,4,35,3,3,12,14,307,10,7,8,11,2,3,202,52,18,0,3,12,3,68,3,0,0,12,53,0,0,1148,1134,1,13,0,54,0,26,22,4,2,0,0,0,0,0,,NIL,,,
86,2014,Tanah Merah Site 4,"Saturday, 13 September, 2014",Hypetherm (S) Pte Ltd,Josephine Tan,8,5,55,200,908,309,14,29,5,1,550,908,309,39,6,37,18,6,7,1,2,4,61,1,10,18,10,1,3,58,27,14,0,1,2,11,5,0,1,2,2,0,0,0,550,550,0,0,0,29,0,11,10,0,8,1,1,0,0,0,,NIL,,,
87,2014,Tanah Merah Site 5,"Saturday, 13 September, 2014",Shinnyo-en Singapore,Michael Tasrif,40,15,105,200,1810,1085,47,97,48,1,532,1810,1085,38,78,32,68,73,60,26,109,47,92,18,50,24,53,48,46,143,80,47,0,6,20,21,48,0,0,8,9,30,1,0,532,285,61,162,24,97,6,28,24,0,39,1,0,0,1,0,,NIL,,,
88,2014,Tanah Merah Site 6,"Saturday, 13 September, 2014",Shinnyo-en Singapore,Michael Tasrif,77,53,287,300,3976,2772,74,465,83,9,573,3976,2772,83,141,118,191,206,65,86,171,55,632,78,121,141,139,116,88,253,88,74,2,17,48,7,83,0,2,13,42,24,0,2,573,316,58,177,22,465,7,188,119,76,75,9,4,2,3,0,,NIL,,,
89,2014,Tanah Merah Site 7,"Friday, 12 September, 2014",Institute of Technical Education College West (ITE/CW),Anna Poorani,176,63,241,100,2946,1601,27,37,108,4,1169,2946,1601,25,28,34,44,123,6,8,32,10,945,41,37,32,40,2,10,109,75,27,4,2,19,2,108,22,13,5,59,3,4,2,1169,1131,2,33,3,37,3,8,12,5,9,4,0,1,0,3,,jellyfish,,,
90,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",Hougang Secondary School,Sally Ho Tze Huey,113,42,296,80,2849,1888,21,212,80,8,640,2849,1888,2,197,73,146,170,9,20,371,18,189,19,6,48,145,30,37,211,197,21,2,4,13,2,80,1,5,12,40,18,0,4,640,374,21,240,5,212,0,167,28,0,17,8,3,2,1,2,,Frog,,,
91,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",Insitute of Technical Education College East (ITE/CE),Christina Lim,22,11,40,60,430,367,1,7,6,0,49,430,367,4,60,11,5,15,1,4,40,4,102,1,0,26,23,5,10,41,15,1,1,0,0,0,6,0,1,0,2,3,0,0,49,10,5,33,1,7,0,6,1,0,0,0,0,0,0,0,,Crab,,,
92,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",Jurong Secondary School,Faidzil Abdul Rahman,40,21,184,500,9545,6336,9,193,9,0,2998,9545,6336,157,1786,593,67,976,0,65,658,70,984,12,75,143,87,0,0,120,543,9,2,2,5,0,9,0,0,0,5,3,0,1,2998,1578,434,986,0,193,0,37,126,0,30,0,0,0,0,0,,NIL,,,
93,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",National Environment Agency (NEA),Too Soon Yee,47,143,317,100,6490,3326,7,173,30,0,2954,6490,3326,1,453,93,56,85,19,105,377,10,1304,31,26,34,349,0,1,370,12,7,1,1,5,0,30,4,0,12,11,1,0,2,2954,2581,109,264,0,173,0,106,48,0,19,0,0,0,0,0,,crabs,,,
94,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",Starbucks Coffee Singapore,Mohd Zaini,40,35,275kg,100,1870,1637,2,17,2,7,205,1870,1637,75,115,175,118,58,17,355,61,25,285,17,75,27,0,0,7,11,216,2,1,0,1,0,2,0,0,0,2,0,0,0,205,17,2,115,71,17,0,7,5,0,5,7,0,7,0,0,,Fish,,,
95,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",LCKNHM Toddycats! & Independents,Germaine Leng & Joanna Yeo,39,41,526,800,3799,3165,41,122,52,8,411,3799,3165,0,715,24,21,6,3,4,209,20,161,57,7,63,704,0,0,1168,3,41,4,9,26,2,52,10,0,0,7,35,0,0,411,220,123,68,0,122,0,72,45,0,5,8,0,3,4,1,,NIL,,,
96,2014,Tanah Merah Site 7,"Saturday, 27 September, 2014",Adrian Lim and Friends,Adrian Lim,32,29,197,500,1421,1136,33,29,34,3,186,1421,1136,81,108,1,3,42,0,2,190,1,251,10,16,18,145,0,4,244,20,33,0,4,27,2,34,1,2,0,15,15,0,1,186,138,7,41,0,29,0,18,7,2,2,3,0,0,0,3,,NIL,,,
97,2014,Sembawang Park (Northeast),"Saturday, 13 September, 2014",Northland Primary School,Vanan,7,9,47,250,565,185,3,30,9,0,338,565,185,35,17,10,5,9,5,3,17,3,24,0,9,29,0,3,5,4,7,3,0,2,1,0,9,0,0,4,1,4,0,0,338,296,22,19,1,30,0,8,9,8,5,0,0,0,0,0,,crabs,,,
98,2014,Selimang Beach (Northeast),"Saturday, 13 September, 2014",MediaCorp Pte Ltd,"Pauline Lam , Oh Pei Ling",36,25,330,100,1298,811,17,107,22,13,328,1298,811,30,95,13,2,35,10,2,119,18,61,32,19,123,164,18,16,29,25,17,0,8,8,1,22,1,0,3,8,8,0,2,328,88,119,119,2,107,0,46,45,0,16,13,3,4,1,5,,Crabs,,,
99,2014,Punggol Beach (Northeast),"Saturday, 13 September, 2014",#N/A,#N/A,85,32,311,490,3501,1823,76,212,44,7,1339,3501,1823,232,110,21,571,74,19,18,136,22,141,41,77,63,169,17,13,76,23,76,7,25,30,14,44,12,4,0,8,14,3,3,1339,1044,44,240,11,212,0,96,30,65,21,7,0,6,1,0,,"fish, horseshoe crab, jellyfish, crabs, cat, ants",,,
100,2014,Punggol Beach 1,"Saturday, 13 September, 2014",North Vista Secondary School ODAC,Ng Li Wei,42,10,121,250,585,361,23,15,15,1,170,585,361,52,36,8,4,17,5,6,23,16,40,9,43,30,29,7,6,25,5,23,0,11,7,5,15,4,0,0,1,9,0,1,170,96,13,56,5,15,0,4,1,5,5,1,0,1,0,0,,Fish,,,
101,2014,Punggol Beach 2,"Saturday, 13 September, 2014",Overseas Family School (OFS),Jean Curry,20,12 bags,123,90,2359,1205,47,122,24,6,955,2359,1205,177,32,6,550,51,10,11,77,5,75,28,30,12,76,10,1,39,15,47,6,10,23,8,24,4,4,0,6,5,3,2,955,800,27,123,5,122,0,44,22,47,9,6,0,5,1,0,,horse shoe crab,,,
102,2014,Punggol Beach 2,"Saturday, 13 September, 2014",CHIJ St Nicholas Girls' School,"Ms Dawn Lim, Ms Leong Chee Bing & Mr Kuah Ee Qiang",23,22,67,150,557,257,6,75,5,0,214,557,257,3,42,7,17,6,4,1,36,1,26,4,4,21,64,0,6,12,3,6,1,4,0,1,5,4,0,0,1,0,0,0,214,148,4,61,1,75,0,48,7,13,7,0,0,0,0,0,,Jellyfish,,,
103,2014,Sungei Seletar 1,"Friday, 29 August, 2014",BP Maritime Services Singapore Pte Ltd,Shankar Rajasekharan,29,42,333,200,839,504,45,41,13,0,236,839,504,14,25,10,12,19,7,13,23,5,166,18,30,28,85,3,1,34,11,45,0,22,21,2,13,0,1,1,8,0,0,3,236,141,13,82,0,41,1,26,10,0,4,0,0,0,0,0,,2 horseshoe crabs,,,
104,2014,Sungei Seletar 2,"Saturday, 13 September, 2014",Land Transport Authority,"Teng Wei Ling, Lee Zi Xiong",50,(Didn't count),371,490,4692,2721,193,271,169,0,1338,4692,2721,45,207,72,61,360,34,12,113,46,536,111,31,193,414,54,66,89,277,193,1,34,121,37,169,3,2,2,141,19,1,1,1338,953,81,299,5,271,0,142,88,31,10,0,0,0,0,0,,NIL,,,
105,2014,Paris Ris Beach 1,"Saturday, 13 September, 2014",Brown University Alumni,Yvonne Koh,7,2,9,200,416,149,11,41,5,0,210,416,149,20,0,6,11,20,0,0,25,1,19,0,6,16,11,0,5,9,0,11,0,5,2,4,5,0,0,0,5,0,0,0,210,148,4,38,20,41,2,30,1,0,8,0,0,0,0,0,,Fish,,,
106,2014,Paris Ris Beach 2,"Saturday, 13 September, 2014",Northvista Secondary School 3E3,Tay Chee Thong,30,13,81,250,643,586,2,18,4,0,33,643,586,32,235,5,0,13,4,2,49,2,3,6,9,40,117,54,3,12,0,2,0,0,0,2,4,0,0,0,0,3,1,0,33,0,2,31,0,18,1,11,1,0,5,0,0,0,0,0,,NIL,,,
107,2014,Paris Ris Beach 6,"Saturday, 13 September, 2014",#N/A,#N/A,178,130,686,300,3286,2350,69,276,49,9,533,3286,2350,108,446,111,9,50,7,25,345,71,120,102,45,141,629,50,16,66,9,69,2,15,33,19,49,1,1,1,10,33,1,2,533,104,58,355,16,276,0,233,18,19,6,9,3,2,4,0,,"Jellyfish, crabs",,,
108,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",NPS International School,Leena Chettri,25,13,85,350,588,302,26,22,14,0,224,588,302,5,55,25,5,21,5,8,34,12,29,10,12,5,36,15,13,11,1,26,0,3,11,12,14,0,1,0,9,4,0,0,224,82,3,136,3,22,0,22,0,0,0,0,0,0,0,0,,NIL,,,
109,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",Naval Base Secondary School,Simon Teo,63,70,213,350,847,525,14,75,18,3,212,847,525,1,161,62,1,6,1,4,70,12,10,7,0,48,132,0,0,10,0,14,0,3,10,1,18,1,0,1,1,13,1,1,212,1,11,194,6,75,0,71,3,0,1,3,3,0,0,0,,Jellyfish,,,
110,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",DHL Singapore,Dian Yassin,90,47,388,500,1851,1523,29,179,17,6,97,1851,1523,102,230,24,3,23,1,13,241,47,81,85,33,88,461,35,3,45,8,29,2,9,12,6,17,0,0,0,0,16,0,1,97,21,44,25,7,179,0,140,15,19,5,6,0,2,4,0,,crab,,,
111,2014,Sungei Tampines (Northeast),"Saturday, 13 September, 2014",Alpha Phi Omega Alumni Association Singapore,Marivic Ison,20,32,285,35,568,396,28,5,0,0,139,568,396,108,135,10,8,19,0,5,85,1,0,0,0,25,0,0,0,0,0,28,0,3,15,10,0,0,0,0,0,0,0,0,139,3,1,135,0,5,0,3,0,2,0,0,0,0,0,0,,NIL,,,
112,2014,Sungei Loyang Mangroves (Northeast),"Saturday, 30 August, 2014",Woodlands Ring Secondary School,Chua Yi Teng,131,72,365,150,5608,2485,136,368,108,8,2503,5608,2485,1,373,102,31,383,9,154,239,149,365,38,40,98,220,28,9,181,65,136,4,58,73,1,108,4,14,3,71,11,2,3,2503,1132,98,1261,12,368,1,225,37,53,52,8,3,0,5,0,,5 horseshoe crabs,,,
113,2014,Chek Jawa North 1,"Thursday, 13 March, 2014","MOE Bedok South Sec School, Henderson Sec School","Mr Edzra Iskandar, Ms Cynthia Chong, Ms Norlinda Ishnin",26,25,76,200,1374,1072,3,12,15,0,272,1374,1072,0,58,24,51,289,0,14,6,9,295,8,18,52,65,3,0,68,112,3,1,2,0,0,15,6,0,0,5,1,0,3,272,125,5,142,0,12,0,7,5,0,0,0,0,0,0,0,,Sea Cucumber,,,
114,2014,Chek Jawa North 2,"Saturday, 13 September, 2014",Barclays Technology Centre,"Erica Lee, Maries Villarosa",26,47,161,50,1230,904,9,41,10,2,264,1230,904,0,17,5,4,3,1,4,71,1,626,31,6,8,76,1,6,35,9,9,3,3,3,0,10,1,1,0,4,3,0,1,264,217,34,13,0,41,0,24,16,0,1,2,0,2,0,0,,NIL,,,
115,2014,Chek Jawa Central 3 & 4,"Saturday, 13 September, 2014",Arup Singapore Pte Ltd,Ang Siow Ting,26,42,346,200,2371,1866,22,169,30,2,282,2371,1866,1,81,116,65,71,16,45,47,20,841,25,22,62,157,11,3,238,45,22,0,5,17,0,30,0,2,0,17,9,0,2,282,192,14,74,2,169,0,88,66,14,1,2,0,2,0,0,,crabs,,,
